Sl No,Data Set,Data Generated,Rows,Columns,Cleaning Status,Null Value,Multiple Lines,Date Format,Number Format,Spellings,Casing,Formula,Condition
1,Clients,YES,30,9,YES,YES,NO,YES,NO,YES,YES,NO,YES
2,Restaurants,YES,50,10,YES,YES,NO,NO,NO,YES,YES,NO,YES
3,Roles,NO,4,5,NO,NO,NO,NO,NO,NO,NO,NO,NO
4,Departments,NO,9,3,NO,NO,NO,NO,NO,NO,NO,NO,NO
5,Users,YES,300,13,YES,YES,NO,NO,NO,YES,YES,NO,YES
6,Subscriptions,NO,4,9,NO,NO,YES,NO,YES,NO,NO,NO,YES
7,Countries,NO,248,5,NO,NO,NO,NO,NO,NO,NO,NO,NO
8,Currencies,NO,4,3,NO,NO,NO,NO,NO,NO,NO,NO,NO
9,Orders,YES,547500,5,YES,YES,NO,YES,YES,YES,YES,YES,YES
10,Sales,YES,18250,10,YES,YES,NO,YES,YES,NO,NO,YES,NO
11,Deliveries,YES,218515,7,YES,YES,NO,YES,YES,NO,NO,NO,YES
12,CashUps,YES,18250,12,YES,YES,NO,YES,YES,YES,YES,YES,YES
13,TaxInfo,NO,2,4,NO,NO,NO,NO,YES,YES,YES,NO,YES
14,Expenses,YES,18250,9,YES,YES,NO,YES,YES,NO,NO,NO,NO
15,Bankings,YES,18250,8,YES,YES,NO,YES,YES,YES,YES,NO,NO
16,Order_Financials,YES,547500,9,YES,YES,NO,NO,YES,NO,NO,YES,NO

