expense_id,restaurant_id,exp_date,bills,vendors,wage_advances,repairs,sundries,total_expense
1,1,2024-01-01,534.18,51.22,774.13,285.28,97.37,1742.18
2,1,2024-01-02,284.54,199.69,735.9,489.53,46.12,1755.78
3,1,2024-01-03,132.75,96.68,662.81,244.87,29.22,1166.33
4,1,2024-01-04,159.98,58.72,689.74,978.1,22.56,1909.1
5,1,2024-01-05,898.39,64.35,14.87,715.02,15.3,1707.93
6,1,2024-01-06,480.11,136.51,818.82,1356.87,40.77,2833.08
7,1,2024-01-07,312.17,94.64,446.34,1788.96,42.18,2684.29
8,1,2024-01-08,130.45,192.28,452.29,586.21,61.52,1422.75
9,1,2024-01-09,366.62,159.94,512.18,1155.26,18.86,2212.86
10,1,2024-01-10,633.47,145.28,732.41,1746.03,98.53,3355.72
11,1,2024-01-11,702.78,39.76,793.03,1373.0,47.01,2955.58
12,1,2024-01-12,714.17,21.89,909.51,313.61,22.32,1981.5
13,1,2024-01-13,974.21,40.89,851.77,407.49,40.1,2314.46
14,1,2024-01-14,794.61,6.71,619.12,1407.81,15.74,2843.99
15,1,2024-01-15,183.91,47.21,937.38,1266.46,97.63,2532.59
16,1,2024-01-16,949.17,80.36,321.34,1201.7,54.29,2606.86
17,1,2024-01-17,492.55,3.72,397.98,432.44,88.27,1414.96
18,1,2024-01-18,461.04,37.88,249.29,1972.75,38.91,2759.87
19,1,2024-01-19,842.62,102.75,126.73,1619.91,68.45,2760.46
20,1,2024-01-20,58.0,66.22,806.41,986.18,86.62,2003.43
21,1,2024-01-21,525.2,163.18,823.64,527.57,18.71,2058.3
22,1,2024-01-22,141.75,136.96,279.36,1866.51,52.73,2477.31
23,1,2024-01-23,129.17,178.39,181.32,1637.12,89.99,2215.99
24,1,2024-01-24,571.06,173.91,276.95,1212.89,57.18,2291.99
25,1,2024-01-25,835.37,2.94,370.88,698.3,22.37,1929.86
26,1,2024-01-26,714.94,73.98,22.06,803.15,10.65,1624.78
27,1,2024-01-27,377.72,24.41,218.48,694.19,30.75,1345.55
28,1,2024-01-28,364.28,109.18,232.66,728.07,13.65,1447.84
29,1,2024-01-29,732.2,182.57,977.73,1978.35,79.66,3950.51
30,1,2024-01-30,708.62,180.28,941.59,792.82,43.75,2667.06
31,1,2024-01-31,396.22,62.56,672.55,676.54,89.14,1897.01
32,1,2024-02-01,365.75,37.03,871.53,1924.18,72.26,3270.75
33,1,2024-02-02,927.42,197.2,541.22,608.88,37.13,2311.85
34,1,2024-02-03,284.62,95.28,671.78,56.4,42.42,1150.5
35,1,2024-02-04,53.2,56.53,629.4,759.49,34.74,1533.36
36,1,2024-02-05,482.78,15.19,86.89,721.34,9.63,1315.83
37,1,2024-02-06,118.62,139.43,371.6,1374.14,54.25,2058.04
38,1,2024-02-07,676.46,19.91,393.41,113.55,35.64,1238.97
39,1,2024-02-08,41.51,130.96,775.91,675.37,8.6,1632.35
40,1,2024-02-09,703.05,106.61,123.45,410.33,17.17,1360.61
41,1,2024-02-10,385.16,192.89,274.11,1975.73,38.69,2866.58
42,1,2024-02-11,276.39,101.34,7.54,1566.95,11.86,1964.08
43,1,2024-02-12,473.63,27.43,531.12,1995.29,1.19,3028.66
44,1,2024-02-13,597.05,158.55,552.82,1000.48,55.3,2364.2
45,1,2024-02-14,174.85,70.15,596.84,943.19,87.88,1872.91
46,1,2024-02-15,567.44,133.71,101.83,1074.18,86.9,1964.06
47,1,2024-02-16,552.18,103.68,726.54,74.52,63.3,1520.22
48,1,2024-02-17,754.95,151.9,121.59,1250.38,39.18,2318.0
49,1,2024-02-18,353.59,11.77,579.41,1494.22,74.62,2513.61
50,1,2024-02-19,110.83,130.95,219.87,1469.09,3.66,1934.4
51,1,2024-02-20,866.63,56.42,44.65,434.23,86.41,1488.34
52,1,2024-02-21,34.37,111.91,689.02,1571.82,12.08,2419.2
53,1,2024-02-22,45.12,110.85,630.83,1627.59,63.24,2477.63
54,1,2024-02-23,290.48,109.66,276.99,1686.58,72.93,2436.64
55,1,2024-02-24,792.36,58.17,71.54,1659.95,35.38,2617.4
56,1,2024-02-25,644.47,156.07,360.49,825.35,35.81,2022.19
57,1,2024-02-26,269.35,17.57,674.8,524.39,41.26,1527.37
58,1,2024-02-27,920.13,102.68,466.02,295.18,42.91,1826.92
59,1,2024-02-28,41.99,18.65,699.61,1525.86,77.66,2363.77
60,1,2024-02-29,331.08,44.86,842.73,1357.67,49.1,2625.44
61,1,2024-03-01,784.3,129.71,544.25,2.27,97.25,1557.78
62,1,2024-03-02,605.99,102.51,104.89,1643.42,1.86,2458.67
63,1,2024-03-03,825.22,83.71,542.98,775.47,91.27,2318.65
64,1,2024-03-04,555.97,169.42,500.04,1248.63,41.53,2515.59
65,1,2024-03-05,475.57,186.79,418.35,946.54,96.75,2124.0
66,1,2024-03-06,1.7,194.57,290.48,1406.48,55.74,1948.97
67,1,2024-03-07,643.26,165.84,615.81,402.47,23.64,1851.02
68,1,2024-03-08,418.81,91.36,548.49,452.09,79.4,1590.15
69,1,2024-03-09,497.72,38.76,439.65,1067.3,27.93,2071.36
70,1,2024-03-10,620.93,156.05,575.76,1068.08,62.97,2483.79
71,1,2024-03-11,268.7,83.55,64.24,908.64,94.47,1419.6
72,1,2024-03-12,771.67,18.92,279.85,291.59,75.85,1437.88
73,1,2024-03-13,788.09,171.89,332.31,529.65,27.93,1849.87
74,1,2024-03-14,895.98,93.08,987.65,1663.71,72.44,3712.86
75,1,2024-03-15,400.69,60.81,444.66,322.4,87.53,1316.09
76,1,2024-03-16,254.04,70.77,589.11,1214.13,96.93,2224.98
77,1,2024-03-17,862.01,18.77,880.75,500.8,83.25,2345.58
78,1,2024-03-18,629.27,54.17,206.08,853.37,65.49,1808.38
79,1,2024-03-19,473.01,154.02,76.1,329.68,73.18,1105.99
80,1,2024-03-20,311.04,157.61,531.78,943.63,2.64,1946.7
81,1,2024-03-21,168.03,148.45,674.7,104.98,93.18,1189.34
82,1,2024-03-22,517.24,192.22,235.91,539.26,63.43,1548.06
83,1,2024-03-23,462.5,32.36,218.67,1776.53,57.81,2547.87
84,1,2024-03-24,380.62,179.37,364.97,575.93,55.55,1556.44
85,1,2024-03-25,519.15,28.6,424.06,1943.88,66.7,2982.39
86,1,2024-03-26,801.01,185.39,842.8,1757.24,13.37,3599.81
87,1,2024-03-27,419.82,70.47,684.8,323.84,36.85,1535.78
88,1,2024-03-28,185.01,197.91,107.72,1751.88,60.02,2302.54
89,1,2024-03-29,517.22,1.47,736.64,446.58,32.11,1734.02
90,1,2024-03-30,786.61,114.14,834.33,293.94,87.93,2116.95
91,1,2024-03-31,622.68,134.45,336.73,1075.57,49.66,2219.09
92,1,2024-04-01,268.68,120.41,21.7,35.07,63.86,509.72
93,1,2024-04-02,967.04,59.91,700.4,828.51,69.81,2625.67
94,1,2024-04-03,219.47,24.92,419.79,1061.72,75.36,1801.26
95,1,2024-04-04,30.29,191.97,412.39,727.59,64.9,1427.14
96,1,2024-04-05,384.42,70.87,757.77,1914.42,4.93,3132.41
97,1,2024-04-06,86.14,81.7,44.05,1637.1,62.39,1911.38
98,1,2024-04-07,291.61,66.93,649.94,267.52,51.9,1327.9
99,1,2024-04-08,532.54,191.4,775.47,159.48,55.7,1714.59
100,1,2024-04-09,988.58,79.82,716.18,1860.36,84.77,3729.71
101,1,2024-04-10,519.11,186.42,592.59,640.51,36.77,1975.4
102,1,2024-04-11,746.41,190.68,776.86,1558.13,17.85,3289.93
103,1,2024-04-12,348.63,10.8,850.99,672.25,49.73,1932.4
104,1,2024-04-13,195.23,122.47,964.94,932.53,53.74,2268.91
105,1,2024-04-14,281.81,127.08,955.29,1424.63,35.44,2824.25
106,1,2024-04-15,13.85,23.57,905.16,490.21,15.17,1447.96
107,1,2024-04-16,736.33,26.17,680.72,393.03,34.86,1871.11
108,1,2024-04-17,166.08,43.42,808.56,426.81,16.71,1461.58
109,1,2024-04-18,324.98,115.19,317.56,1085.44,96.09,1939.26
110,1,2024-04-19,182.41,131.44,342.69,1753.2,31.81,2441.55
111,1,2024-04-20,380.96,192.97,444.41,1345.74,51.55,2415.63
112,1,2024-04-21,102.24,153.26,238.72,472.22,25.01,991.45
113,1,2024-04-22,754.63,161.32,761.47,58.5,85.93,1821.85
