restaurant_id,name,legal_name,address,phone,is_franchise,is_active,country,client_id,currency_id
1,"Jackson, Smith and Munoz",Eaton-Martin,"Unit 6316 Box 4456
DPO AP 21890",660.346.3819,False,True,UK,30,1
2,"Dean, Schmidt and Haas",Yu-Waller,"0319 Greene Park
South Heatherville, WY 04163",+1-937-622-0420x803,False,True,UK,27,1
3,"Long, Reeves and Duncan",Snyder-Hoffman,"20787 Hoover Shore
Port Devinshire, VA 52831",(796)326-6714,False,True,UK,28,1
4,Pacheco PLC,"Collins, Castro and Cole","57264 Martin Points Suite 420
Austinberg, NJ 34277",598-599-7725x2595,False,True,UK,15,1
5,"Owens, Johnson and Anderson","Torres, Wilson and Hernandez","4581 Perez Vista
Thomasside, KS 59051",227.372.3331,False,True,India,22,4
6,"Williams, Morrow and Martin",Rivera and Sons,"1954 Gomez Mews Apt. 896
Lisamouth, GA 56430",+1-752-349-4166,False,True,India,23,4
7,"Turner, Holmes and Wilson","Yates, Dillon and Williams","8624 Tonya Valleys Suite 947
Kendrashire, MD 68213",689.491.9885x46062,True,True,UK,10,1
8,"Parrish, Malone and Woods","Shah, Foley and Smith","1055 Rebecca Crossing
East Frankbury, WY 05057",+1-399-868-2636x16659,False,True,India,6,4
9,Steele-Smith,"Butler, Sutton and Garcia","Unit 9074 Box 9458
DPO AP 26703",831-911-1783x0770,False,True,India,6,4
10,Arellano-Lopez,"Jensen, Contreras and Smith","54038 Thompson Shoal Suite 672
North Ethan, MO 42238",001-217-378-4273x487,False,True,UK,29,1
11,"Nelson, Jordan and Franklin",Lawrence-Faulkner,"44344 Buchanan Isle
Charlottetown, CA 59301",(551)871-4598x0057,False,True,India,18,4
12,"Callahan, Frye and Jones",Washington Inc,"USCGC Johns
FPO AA 14230",001-814-924-7374x445,True,True,UK,12,1
13,Graham-Rodriguez,Stephenson Inc,"3930 Fry Stravenue
Beardbury, HI 46594",296.748.5662x849,True,True,UK,28,1
14,Simmons-Flores,Perkins LLC,"32531 Brooke Summit
Williamtown, MP 37166",821-653-0346,False,True,UK,3,1
15,Henderson-Taylor,Ho-Mcconnell,"646 Emily Square
West Jenniferside, ME 23458",(426)632-6118x37121,False,True,India,6,4
16,Bush LLC,Mcconnell Group,"9311 Christine Trail Apt. 760
South Nicole, CO 48951",001-689-366-8572,False,True,UK,13,1
17,Lawrence and Sons,Shelton-Krueger,"887 Scott Isle
Robertmouth, LA 35698",873-887-9230x21524,False,True,UK,13,1
18,"Mayo, Brooks and Yu",Perez-Bentley,"192 Tonya Inlet
North Amandaland, WY 06052",+1-431-338-1438,False,True,UK,4,1
19,Carter and Sons,"Young, Robertson and Ruiz","24852 Shawn Cliffs
North Thomastown, SC 27104",938.377.4114x50488,True,True,UK,10,1
20,Davis-Woodard,"Robinson, Brock and Bond","2069 Martin Bypass
Port Robert, ID 38550",720.486.5662x87286,False,True,UK,30,1
21,Ray-Hill,"Kemp, Smith and Phillips","29514 Wood Common Suite 792
Adkinston, MH 82581",+1-251-725-2365x2520,False,True,UK,5,1
22,"Holmes, Kim and Carter",Holmes LLC,"346 Garcia Highway Apt. 112
Lake Abigail, TX 49940",(770)939-4433,False,True,UK,3,1
23,"Williams, Kelly and Sellers","Hanson, Velasquez and Armstrong","1784 Mccormick Meadow
Amberville, TN 52014",434-706-5932,False,True,UK,15,1
24,Parker Inc,Diaz and Sons,"Unit 0594 Box 3342
DPO AP 61339",7492140306,False,True,UK,26,1
25,"Christian, Ferrell and Crawford",Garcia-Martin,"842 Leah Harbor
Lake Diana, RI 19317",(775)792-0898x5182,False,True,UK,3,1
