restaurant_id,date,drinks_payment,food_payment,other_payment,service_charges,delivery_charges,tax_charges,creditcard_tip,sales_id
1,2024-01-01,703.18,1651.44,291.57,85.93,92.77000000000001,225.98,3.51,1
1,2024-01-02,894.37,1561.5,294.01,89.53,95.92,234.81,5.81,2
1,2024-01-03,740.88,1666.56,299.73,96.0,78.7,230.56,8.87,3
1,2024-01-04,980.5,1684.37,274.99,120.67,52.71,249.07,5.49,4
1,2024-01-05,804.47,1577.4,311.13,96.23,76.85,229.29,2.7,5
1,2024-01-06,850.62,1511.81,330.75,93.92,81.48,229.48,0.96,6
1,2024-01-07,840.34,1778.65,345.38,88.27,119.88,253.8,3.64,7
1,2024-01-08,755.75,1586.96,290.02,61.22,140.85,226.79,5.19,8
1,2024-01-09,853.42,1823.93,301.33,100.94,96.01,254.05,3.83,9
1,2024-01-10,733.15,1700.43,287.68,69.11,133.89,233.93,5.78,10
1,2024-01-11,799.5,1560.23,322.29,91.81,84.56,228.68,3.95,11
1,2024-01-12,883.4300000000001,1597.4,296.79,100.01,77.76,236.45,5.04,12
1,2024-01-13,870.68,1480.46,275.57,74.33,113.99,225.19,2.85,13
1,2024-01-14,834.24,1743.12,271.18,63.48,157.91,245.59,4.36,14
1,2024-01-15,804.8100000000001,1867.48,349.11,96.99,108.17,258.14,0.36,15
1,2024-01-16,796.06,1898.18,357.58,92.69,119.81,261.14,7.28,16
1,2024-01-17,801.22,1798.82,381.14,74.25,149.62,256.41,6.82,17
1,2024-01-18,824.71,1580.0,313.3,81.14,109.53,232.69,9.01,18
1,2024-01-19,861.12,1591.52,349.12,80.1,119.98,240.15,5.37,19
1,2024-01-20,856.68,1865.13,277.99,96.31,107.34,256.27,3.74,20
1,2024-01-21,814.05,1782.66,283.76,113.51,61.05,244.37,3.13,21
1,2024-01-22,717.77,1731.44,340.76,88.33,102.36,238.45,4.66,22
1,2024-01-23,841.77,1923.9,292.68,66.38,173.08,263.83,4.46,23
1,2024-01-24,849.14,1631.14,236.31,75.92,119.83,232.98,6.18,24
1,2024-01-25,813.42,1694.18,264.17,90.77,95.67,236.68,5.38,25
1,2024-01-26,799.79,1647.6,280.48,90.09,92.6,232.85,8.91,26
1,2024-01-27,839.63,1680.64,267.65,90.39,97.99,238.11,0.12,27
1,2024-01-28,822.47,1743.23,280.97,56.56,171.57,245.99,8.89,28
1,2024-01-29,829.8199999999999,1626.63,290.12,94.29,86.09,234.18,3.33,29
1,2024-01-30,736.27,1567.54,299.47,76.37,107.59,222.99,7.02,30
1,2024-01-31,809.51,1750.13,292.78,75.72,133.82,244.95,8.62,31
1,2024-02-01,835.1,1356.39,313.94,56.83,136.92,215.94,1.85,32
1,2024-02-02,723.12,1676.31,276.61,106.75,54.11,226.97,5.99,33
1,2024-02-03,767.67,1407.59,306.96,74.04,100.18,212.53,4.04,34
1,2024-02-04,709.62,1508.63,355.03,78.63,100.07,220.16,5.85,35
1,2024-02-05,901.79,1854.2,244.91,107.42,85.26,255.5,1.82,36
1,2024-02-06,803.7,1547.35,313.47,95.62,75.31,226.85,6.56,37
1,2024-02-07,792.01,1637.66,277.03,103.6,63.48999999999999,229.93,1.58,38
1,2024-02-08,849.1,2031.22,257.94,98.12,117.6,268.33,0.27,39
